locationId,place.name,is_fch,is_local,rated_count,average_photonum,average_rating,category_l
1691312097,경성찹쌀꽈배기,0,1,33,0.12121212121212123,4.222222222222219,0
1025690122,커피에반하다 당곡사거리점,0,1,6,0.16666666666666666,4.666666666666667,0
11717175,뚝배기집,0,1,69,0.18840579710144928,4.5126582278481004,0
35831869,가렛팝콘 롯데월드몰점,0,1,27,0.14814814814814814,4.599999999999998,0
18557397,용삼계탕,0,1,24,0.04166666666666666,4.586206896551727,0
37420567,더벤티 신림점,1,1,19,0.0,4.5,0
18137751,조대포남영본점,0,1,47,0.3829787234042553,4.598039215686272,0
18486508,레이크인,0,1,1,0.0,5.0,1
31044289,앰배서더즈,0,1,1,0.0,5.0,1
36997817,한화호텔앤드리조트(주),0,1,1,0.0,4.0,1
1720353933,몬드리안,0,1,1,0.0,5.0,1
1331806777,시엠프레꼬모도밍고,0,1,387,0.012919896640826873,4.457627118644045,0
1613798551,휴식 청계다동점,0,1,20,0.05,4.302631578947369,0
1629260056,카페 심플리에,0,1,20,0.7,4.159090909090908,0
38420192,골드버튼커피,0,1,32,0.28125,4.598214285714287,0
37206909,오발탄 삼성점,0,1,24,0.5416666666666666,4.365384615384614,0
12048308,외고집설렁탕,0,1,36,0.3333333333333333,4.128205128205128,0
19882431,서지,0,1,25,0.92,4.625,0
18457218,스시히로바 삼성동본점,0,1,26,0.19230769230769232,4.486842105263161,0
34677857,폴바셋 NC타워 삼성점,1,1,111,0.11711711711711713,4.529255319148942,0
32259466,화평칼국수보쌈왕만두,0,1,29,0.3103448275862069,4.5,0
1186816906,명랑핫도그 가재울뉴타운점,1,1,34,0.2058823529411765,4.5,0
13154695,최가네버섯샤브매운탕칼국수,0,1,56,0.10714285714285714,4.599999999999996,0
13124988,영천영화 청담점,0,1,73,0.136986301369863,4.451807228915662,0
36139353,마녀김밥,0,1,77,0.23376623376623376,4.494623655913982,0
1885096860,시트론오피스,0,1,29,0.4482758620689655,4.266666666666667,0
1516865123,카레시오 본점,0,1,21,0.42857142857142855,4.173913043478263,0
1149666175,곽선생왕만두 충정로점,0,1,22,0.3636363636363637,4.137931034482761,0
18057919,토요코인호텔서울동대문,0,1,1,0.0,5.0,1
1380125827,빽다방 신논현역점,1,1,45,0.08888888888888889,4.712643678160922,0
31318088,이디야커피 청담사거리점,1,1,18,0.1111111111111111,4.518518518518519,0
1975249052,청담25,0,1,24,0.08333333333333333,4.368421052631576,0
1166130199,커피빈 선릉역3번출구세방빌딩점,1,1,42,0.07142857142857142,4.774725274725277,0
552147189,이화수전통육개장 서울보라매점,0,1,22,0.0,4.200000000000002,0
1903313528,라코지스테이 서울,0,1,2,0.0,3.5,1
1232045922,가네리 뚝배기,0,1,18,0.0,3.9047619047619038,0
37634481,정스시,0,1,18,0.2222222222222222,4.38,0
1002143491,비엔나커피하우스 신림점,1,1,64,0.15625,4.666666666666666,0
13548705,청국장과보리밥 청담점,0,1,30,0.16666666666666666,4.514285714285716,0
38274987,길동 우동집,0,1,49,0.12244897959183673,4.088607594936711,0
1396628028,담미온,0,1,23,0.39130434782608703,4.425925925925925,0
12835642,청담동칼국수,0,1,10,0.0,4.673913043478263,0
38018302,공리 훠궈&짬뽕 청담점,0,1,19,0.0,4.407407407407407,0
1281784947,케니스토리인 종로,0,1,1,0.0,3.0,1
