locationId,0,1,2,3,4,5,6,7
31243438,-1912.8015,-1912.8275,-1912.8406,-1912.8666,-1912.8796,-1912.9056,-1912.9187,-1912.9447
1500428988,-201.02975,-201.06882,-201.10788,-201.14693,-201.18599,-201.22504,-201.22504,-201.22504
1418214650,-414.42227,-416.59613,-406.0433,-411.13828,-419.60526,-417.22235,-433.76172,-436.52988
1676380563,-351.1462,-346.19806,-348.0298,-354.00958,-350.92105,-345.44836,-338.36954,-352.46848
95434175,-1730.5868,-1730.6161,-1730.6356,-1730.6552,-1730.6649,-1730.6747,-1730.6942,-1730.704
403739196,-813.79346,-813.80566,-813.8309,-813.8431,-813.8431,-813.8553,-813.8813,-813.8805
36628778,-1559.7185,-1569.4307,-1542.3901,-925.00037,-1085.7466,-1424.828,-1569.4567,-1543.041
11629666,-1547.6139,-1547.6484,-1651.6554,-1656.664,-1652.9491,-1807.0986,-1810.8872,-1764.8435
1245880236,-1397.8027,-1451.73,-1292.8241,-1451.7513,-1285.7618,-1254.04,-1134.8483,-1108.721
31044289,-322.2914,-322.30972,-322.3085,-322.32678,-322.3451,-322.34387,-322.36218,-322.38046
11559924,-1688.3698,-1688.3689,-1688.4995,-1527.4143,-1527.532,-1688.8645,-1688.9813,-1688.9935
37268669,-345.0232,-342.7077,-354.55905,-322.29184,-333.47772,-339.37372,-331.6866,-345.18747
1578505636,-341.86993,-341.90897,-341.9285,-341.96756,-342.00662,-342.0457,-342.08475,-342.12378
36997817,-102.09794,-102.13699,-102.13699,-102.176056,-102.21511,-102.21511,-102.21511,-102.254166
13036811,-1381.4491,-1381.477,-1381.5049,-1381.5383,-1381.5719,-1381.5997,-1381.6332,-1381.6611
21705387,-2228.214,-2228.214,-2228.214,-2228.214,-2228.214,-2228.214,-2228.2532,-2228.2532
1270297527,-1121.3685,-1106.7977,-1088.5359,-1091.0442,-1068.028,-1088.5549,-1081.5233,-1099.1536
33920290,-1486.0889,-1486.1084,-1486.1475,-1486.167,-1486.1865,-1486.206,-1486.2256,-1486.2646
